bing	52	bing	-5.769865069670116
bing	344	live search	-5.769865069670116
bing	354	msn search	-5.769865069670116
bing	98	comparison of web search engines	-7.053190349430667
bing	277	info.com	-7.647565481116517
bing	381	msnbot	-7.944994535245039
bing	343	list of search engines	-8.262575038902614
bing	656	yebol	-8.685746519531055
bing	245	goby inc.	-8.818018310354157
bing	637	web search engine	-8.856181128774972
bing	447	powerset (company)	-8.90948593717537
bing	520	search engine results pages	-9.016204886401821
bing	336	leapfish	-9.332458725519615
bing	187	dogpile	-9.384992239609357
bing	622	webcrawler	-9.473630018746995
bing	427	organic search	-9.525218475070886
bing	326	keyword (internet search)	-9.633386824998766
bing	519	search engine optimization	-9.633386824998766
bing	638	web search query	-9.708472680452953
bing	75	carrot2	-9.890915395094087
bing	525	semantic search	-9.912478751366123
bing	194	duckduckgo	-9.946976361960493
bing	654	yahoo! search	-10.026354291950836
bing	337	learning to rank	-10.0502596118665
bing	518	search engine marketing	-10.079503867446068
bing	619	volunia	-10.150313695425842
bing	492	robots.txt	-10.25961413757506
bing	493	robots exclusion standard	-10.25961413757506
bing	401	naver	-10.302028666036987
bing	631	web mining	-10.39088176890664
bing	647	wolfram alpha	-10.417403079057568
bing	244	go.com	-10.498911056151725
bing	466	quaero	-10.527112616631245
bing	21	altavista	-10.558134123066123
bing	373	microsoft	-10.824488745920831
bing	250	google search	-10.851009038122989
bing	35	ask.com	-10.99957455473432
bing	369	meta tags	-11.189737784392834
bing	355	machine learning	-11.200809497934596
bing	152	data mining	-11.325729071958795
bing	117	computer vision	-11.352959174695853
bing	276	index (search engine)	-11.399329654981662
bing	517	search engine indexing	-11.399329654981662
bing	45	baidu	-11.439929638500827
bing	625	web crawler	-11.511444729931322
bing	626	web crawling	-11.511444729931322
bing	241	geographic information systems	-11.578771369393776
bing	247	google	-11.696735686206397
bing	0	1890 us census	-11.853791732127315
bing	1	a9.com	-11.853791732127315
bing	2	acm computing classification system	-11.853791732127315
bing	5	aol search	-11.853791732127315
bing	4	aol	-11.853791732127315
bing	3	advise	-11.853791732127315
bing	9	actuate corporation	-11.853791732127315
bing	10	adversarial information retrieval	-11.853791732127315
bing	8	accuracy and precision	-11.853791732127315
bing	7	academic journal	-11.853791732127315
bing	6	academic press	-11.853791732127315
bing	16	algorithm	-11.853791732127315
bing	17	algorithm design	-11.853791732127315
bing	18	aliweb	-11.853791732127315
bing	20	alpha consumer	-11.853791732127315
bing	19	alltheweb	-11.853791732127315
bing	14	aggregate function	-11.853791732127315
bing	15	alan emtage	-11.853791732127315
bing	13	aggregate (data warehouse)	-11.853791732127315
bing	12	advertising	-11.853791732127315
bing	11	adverse drug reaction	-11.853791732127315
bing	32	artificial life	-11.853791732127315
bing	33	artificial neural network	-11.853791732127315
bing	34	as we may think	-11.853791732127315
bing	36	association for computing machinery	-11.853791732127315
bing	40	association rules	-11.853791732127315
bing	41	atlantic monthly	-11.853791732127315
bing	39	association rule mining	-11.853791732127315
bing	38	association rule learning	-11.853791732127315
bing	37	association rule	-11.853791732127315
bing	27	anomaly detection	-11.853791732127315
bing	28	archie comics	-11.853791732127315
bing	29	archie search engine	-11.853791732127315
bing	31	artificial intelligence	-11.853791732127315
bing	30	argonne national laboratory	-11.853791732127315
bing	24	analytics	-11.853791732127315
bing	25	anchor modeling	-11.853791732127315
bing	26	angoss	-11.853791732127315
bing	23	analysis of algorithms	-11.853791732127315
bing	22	alvin weinberg	-11.853791732127315
bing	63	business intelligence	-11.853791732127315
bing	64	business intelligence tools	-11.853791732127315
bing	65	buzzword	-11.853791732127315
bing	67	capps ii	-11.853791732127315
bing	66	c. j. van rijsbergen	-11.853791732127315
bing	71	calvin mooers	-11.853791732127315
bing	72	cambridge university press	-11.853791732127315
bing	70	crisp-dm	-11.853791732127315
bing	69	cikm conference	-11.853791732127315
bing	68	cern	-11.853791732127315
bing	78	category theory	-11.853791732127315
bing	79	censorship	-11.853791732127315
bing	80	chacha (search engine)	-11.853791732127315
bing	82	chess	-11.853791732127315
bing	81	chemicalize.org	-11.853791732127315
bing	76	case western reserve university	-11.853791732127315
bing	77	categorization	-11.853791732127315
bing	74	carnegie mellon university	-11.853791732127315
bing	73	cancer	-11.853791732127315
bing	53	bioinformatic	-11.853791732127315
bing	54	bioinformatics	-11.853791732127315
bing	55	biomedical	-11.853791732127315
bing	57	blekko	-11.853791732127315
bing	56	blackle.com	-11.853791732127315
bing	61	bram stoker	-11.853791732127315
bing	62	british petroleum	-11.853791732127315
bing	60	boolean operators	-11.853791732127315
bing	59	boolean algebra	-11.853791732127315
bing	58	boogami	-11.853791732127315
bing	48	bibliometrics	-11.853791732127315
bing	49	bill inmon	-11.853791732127315
bing	50	binary independence model	-11.853791732127315
bing	51	binary classification	-11.853791732127315
bing	46	bayes' theorem	-11.853791732127315
bing	47	berlekamp	-11.853791732127315
bing	44	automatic summarization	-11.853791732127315
bing	43	automated reasoning	-11.853791732127315
bing	42	automata theory	-11.853791732127315
bing	124	controlled vocabulary	-11.853791732127315
bing	125	cornelis j. van rijsbergen	-11.853791732127315
bing	126	cross-language information retrieval	-11.853791732127315
bing	129	cryptography	-11.853791732127315
bing	128	cross industry standard process for data mining	-11.853791732127315
bing	127	cross-platform	-11.853791732127315
bing	133	customer relationship management	-11.853791732127315
bing	134	cyril w. cleverdon	-11.853791732127315
bing	132	customer analytics	-11.853791732127315
bing	131	cultural studies	-11.853791732127315
bing	130	cuil	-11.853791732127315
bing	140	data vault modeling	-11.853791732127315
bing	141	data analysis	-11.853791732127315
