bing	data%20mining	0.34839781343273357
bing	google	0.46778412473420794
bing	salsa	0.4374330323468388
bing	web%20search	0.32199441178353566
data%20mining	bing	0.34839781343273357
data%20mining	google	0.44980379710162244
data%20mining	salsa	0.30484616176830254
data%20mining	web%20search	0.4095704829229992
google	bing	0.46778412473420794
google	data%20mining	0.44980379710162244
google	salsa	0.4116585868192708
google	web%20search	0.6711998676562934
salsa	bing	0.4374330323468388
salsa	data%20mining	0.30484616176830254
salsa	google	0.4116585868192708
salsa	web%20search	0.3817387993095743
web%20search	bing	0.32199441178353566
web%20search	data%20mining	0.4095704829229992
web%20search	google	0.6711998676562934
web%20search	salsa	0.3817387993095743
